,0
0,74.28001
1,81.543274
2,82.81698
3,82.76512
4,82.735756
5,82.713234
6,82.70324
7,82.69669
8,82.69062
9,82.6887
10,82.6909
11,82.687225
12,82.68685
13,82.68592
14,82.68423
15,82.68664
16,82.688866
17,82.690506
18,82.69536
19,82.6963
20,82.698265
21,82.69895
22,82.70074
23,82.7006
24,82.70424
25,82.708885
26,82.70957
27,82.71175
28,82.71393
29,82.71506
30,82.718216
31,82.71772
32,82.71723
33,82.71433
34,82.71581
35,82.71587
36,82.71388
37,82.712265
38,82.7087
39,82.70479
40,82.70023
41,82.69658
42,82.691826
43,82.68694
44,82.68348
45,82.67758
46,82.67025
47,82.66459
48,82.65722
49,82.65289
50,82.64625
51,82.640274
52,82.63438
53,82.628975
54,82.62255
55,82.621216
56,82.6147
57,82.60894
58,82.60825
59,82.60239
60,82.596115
61,82.5926
62,82.59063
63,82.58414
64,82.58303
65,82.58051
66,82.57607
67,82.57612
68,82.56959
69,82.567276
70,82.56471
71,82.56146
72,82.55885
73,82.557304
74,82.55437
75,82.550896
76,82.55094
77,82.54692
78,82.54569
79,82.54334
80,82.539696
81,82.53821
82,82.5351
83,82.53206
84,82.52888
85,82.526306
86,82.52426
87,82.524765
88,82.51825
89,82.5184
90,82.51687
91,82.512085
92,82.51097
93,82.508064
94,82.506966
95,82.504196
96,82.501114
97,82.50215
98,82.49615
99,82.4979
100,82.49433
101,82.492256
102,82.49378
103,82.48953
104,82.48837
105,82.486595
106,82.48448
107,82.48355
108,82.48179
109,82.47847
110,82.47817
111,82.47475
112,82.47344
113,82.47345
114,82.47292
115,82.47031
116,82.47063
117,82.46998
118,82.4713
119,82.469574
120,82.46921
121,82.46826
122,82.46941
123,82.46864
124,82.46849
125,82.466324
126,82.46593
127,82.46812
128,82.46731
129,82.467865
130,82.46577
131,82.46529
132,82.46362
133,82.463005
134,82.467674
135,82.46601
136,82.46674
137,82.4674
138,82.469475
139,82.468735
140,82.46771
141,82.46903
142,82.46588
143,82.467735
144,82.468765
145,82.46626
146,82.4669
147,82.468834
148,82.46838
149,82.47075
150,82.46827
151,82.46635
152,82.47031
153,82.46878
154,82.471565
155,82.47009
156,82.47013
157,82.46862
158,82.47033
159,82.4694
160,82.470894
161,82.46965
162,82.46698
163,82.468285
164,82.463005
165,82.4639
166,82.465965
167,82.4612
168,82.45907
169,82.45584
170,82.452995
171,82.44683
172,82.442085
173,82.4383
174,82.42877
175,82.42307
176,82.41198
177,82.402466
178,82.38957
179,82.37653
180,82.356705
181,82.33953
182,82.31641
183,82.28659
184,82.25571
185,82.21683
186,82.17313
187,82.12069
188,82.059166
189,81.985085
190,81.902435
191,81.7987
192,81.67462
193,81.51468
194,81.299385
195,80.99783
196,80.59408
197,74.11388
198,81.35612
199,82.6591
200,82.61098
201,82.58027
202,82.55999
203,82.549545
204,82.544586
205,82.54042
206,82.538666
207,82.53179
208,82.5336
209,82.529655
210,82.53198
211,82.533325
212,82.53371
213,82.53343
214,82.53383
215,82.53459
216,82.53847
217,82.540344
218,82.54363
219,82.54124
220,82.54387
221,82.54674
222,82.54702
223,82.55026
224,82.548744
225,82.55032
226,82.55005
227,82.551
228,82.54927
229,82.54709
230,82.54832
231,82.54667
232,82.544174
233,82.54346
234,82.538086
235,82.53553
236,82.528755
237,82.52726
238,82.52334
239,82.51828
240,82.51121
241,82.507744
242,82.50116
243,82.49345
244,82.48626
245,82.480225
246,82.476364
247,82.47189
248,82.464
249,82.45679
250,82.455124
251,82.447525
252,82.444405
253,82.43841
254,82.435135
255,82.43285
256,82.42639
257,82.42383
258,82.42073
259,82.41465
260,82.41426
261,82.41016
262,82.405975
263,82.40525
264,82.40206
265,82.39897
266,82.39451
267,82.39182
268,82.38911
269,82.38463
270,82.38164
271,82.379
272,82.37728
273,82.374466
274,82.372345
275,82.36814
276,82.36487
277,82.36198
278,82.36055
279,82.35773
280,82.35564
281,82.35123
282,82.350525
283,82.34577
284,82.34615
285,82.342026
286,82.34004
287,82.33959
288,82.33634
289,82.33301
290,82.3323
291,82.33061
292,82.32869
293,82.32625
294,82.32226
295,82.322174
296,82.32026
297,82.3173
298,82.315865
299,82.313
300,82.31278
301,82.31102
302,82.31024
303,82.308784
304,82.304565
305,82.30293
306,82.30446
307,82.30116
308,82.30034
309,82.29914
310,82.29854
311,82.296776
312,82.2963
313,82.29457
314,82.29542
315,82.29258
316,82.29438
317,82.29207
318,82.29438
319,82.29154
320,82.29372
321,82.29338
322,82.291756
323,82.29389
324,82.29112
325,82.2919
326,82.2925
327,82.29352
328,82.295616
329,82.29352
330,82.29482
331,82.293175
332,82.29539
333,82.294975
334,82.296555
335,82.29734
336,82.29587
337,82.29558
338,82.29706
339,82.299126
340,82.29833
341,82.29996
342,82.298775
343,82.30113
344,82.301056
345,82.30076
346,82.3009
347,82.30385
348,82.30286
349,82.30039
350,82.30287
351,82.3052
352,82.30438
353,82.305305
354,82.30641
355,82.30277
356,82.30569
357,82.30392
358,82.301285
359,82.3004
360,82.301605
361,82.29958
362,82.29929
363,82.298004
364,82.29542
365,82.29105
366,82.28874
367,82.28285
368,82.281235
369,82.27351
370,82.26896
371,82.26168
372,82.25225
373,82.24302
374,82.232544
375,82.218445
376,82.203026
377,82.18298
378,82.15726
379,82.13332
380,82.100174
381,82.06205
382,82.01496
383,81.959816
384,81.89442
385,81.8162
386,81.72243
387,81.608734
388,81.4703
389,81.2896
390,81.03387
391,80.64495
392,80.11703
393,73.87929
394,81.113464
395,82.43818
396,82.392136
397,82.35756
398,82.34045
399,82.33321
400,82.32431
401,82.32343
402,82.318924
403,82.316444
404,82.315414
405,82.31429
406,82.313995
407,82.31306
408,82.31332
409,82.31329
410,82.315575
411,82.31425
412,82.31759
413,82.317665
414,82.317314
415,82.320915
416,82.32396
417,82.32145
418,82.324455
419,82.32431
420,82.32561
421,82.32727
422,82.3272
423,82.32511
424,82.32617
425,82.32295
426,82.324554
427,82.320625
428,82.321495
429,82.31752
430,82.31527
431,82.31023
432,82.3065
433,82.30104
434,82.2952
435,82.28735
436,82.282555
437,82.27741
438,82.26972
439,82.262375
440,82.256905
441,82.25289
442,82.24594
443,82.24259
444,82.23383
445,82.22983
446,82.22485
447,82.21946
448,82.21401
449,82.21024
450,82.20619
451,82.20209
452,82.19765
453,82.19456
454,82.188896
455,82.18732
456,82.18339
457,82.18028
458,82.176315
459,82.17317
460,82.17046
461,82.16866
462,82.16222
463,82.16265
464,82.15716
465,82.1546
466,82.153694
467,82.149605
468,82.14671
469,82.14183
470,82.14173
471,82.136696
472,82.13616
